	AgI	Transcript.Cluster.ID
13336375	At1g05920	13336375
13336379	At1g05930	13336379
13336382	AMBIgUOUS	13336382
13336384	At1g05990	13336384
13336387	At1g06000	13336387
13336389	At1g06010	13336389
13336394	At1g06020	13336394
13336399	At1g06030	13336399
13336404	At1g06060	13336404
13336414	At1g06080	13336414
13336422	At1g06090	13336422
13336428	At1g06100	13336428
13336434	At1g06120	13336434
13336439	At1g06135	13336439
13336443	At1g06140	13336443
13336445	At1g06160	13336445
13336448	At1g06180	13336448
13336454	At1g06210	13336454
13336462	At1g06220	13336462
13336474	At1g06225	13336474
13336476	At1g06230	13336476
13336488	At1g06240	13336488
13336498	At1g06260	13336498
13336501	At1g06290	13336501
13336515	At1g06310	13336515
13336529	At1g06320	13336529
13336534	At1g06380	13336534
13336537	At1g06390	13336537
13336555	At1g06410	13336555
13336562	At1g06420	13336562
13336567	At1g06450	13336567
13336571	At1g06470	13336571
13336586	AMBIgUOUS	13336586
13336588	At1g06490	13336588
13336626	At1g06500	13336626
13336634	At1g06510	13336634
13336641	At1g06530	13336641
13336644	At1g06560	13336644
13336657	At1g06620	13336657
13336662	At1g06630	13336662
13336673	At1g06640	13336673
13336681	At1g06645	13336681
13336687	At1g06650	13336687
13336694	At1g06670	13336694
13336710	At1g06680	13336710
13336719	At1g06730	13336719
13336727	At1g06750	13336727
13336740	At1g06780	13336740
13336755	AMBIgUOUS	13336755
13336767	At1g06830	13336767
13336771	At1g06850	13336771
13336779	At1g06870	13336779
13336787	At1g06910	13336787
13336795	AMBIgUOUS	13336795
13336800	At1g06930	13336800
13336804	At1g06960	13336804
13336813	At1g06970	13336813
13336817	At1g06990	13336817
13336822	At1g07010	13336822
13336838	ath-MIR847	13336838
13336840	At1g07070	13336840
13336846	At1g07080	13336846
13336854	AMBIgUOUS	13336854
13336856	At2g36145	13336856
13336862	At1g07130	13336862
13336866	AMBIgUOUS	13336866
13336876	At1g07175	13336876
13336879	At1g07180	13336879
13336890	At1g07190	13336890
13336892	At1g07210	13336892
13336900	At1g07240	13336900
13336904	At1g07250	13336904
13336908	At1g07280	13336908
13336915	At1g07320	13336915
13336921	At1g07330	13336921
13336926	At1g07340	13336926
13336933	At1g07370	13336933
13336940	At1g07390	13336940
13336955	At1g07400	13336955
13336959	At1g07410	13336959
13336964	At1g07420	13336964
13336976	At1g07460	13336976
13336978	At1g07470	13336978
13336987	At1g07476	13336987
13336991	AMBIgUOUS	13336991
13336996	At1g07510	13336996
13337007	At1g07560	13337007
13337021	At1g07610	13337021
13337025	At1g07630	13337025
13337032	AMBIgUOUS	13337032
13337036	At1g07680	13337036
13337042	At1g07690	13337042
13337048	At1g07700	13337048
13337060	At1g07705	13337060
13337077	At1g07725	13337077
13337081	At1g07747	13337081
13337083	At1g07790	13337083
13337087	At1g07795	13337087
13337091	At1g07810	13337091
13337101	At1g07830	13337101
13337108	At1g07840	13337108
13337122	At1g07850	13337122
13337127	At1g07890	13337127
13337142	At1g07900	13337142
13337145	At1g07910	13337145
13337173	AMBIgUOUS	13337173
13337178	AMBIgUOUS	13337178
13337184	At1g07960	13337184
13337192	At1g07985	13337192
13337196	At1g07990	13337196
13337213	At1g08005	13337213
13337215	At1g08032	13337215
13337217	At1g08035	13337217
13337220	At1g08090	13337220
13337226	At1g08110	13337226
13337238	At1g08120	13337238
13337242	At1g08190	13337242
13337264	AMBIgUOUS	13337264
13337266	At1g08260	13337266
13337295	At1g08280	13337295
13337298	At1g08300	13337298
13337305	AMBIgUOUS	13337305
13337313	At1g08340	13337313
13337320	At1g08360	13337320
13337327	At1g08370	13337327
13337337	At1g08390	13337337
13337342	At1g08410	13337342
13337351	At1g08420	13337351
13337375	At1g08430	13337375
13337383	At1g08440	13337383
13337390	At1g08460	13337390
13337396	At1g08465	13337396
13337405	At1g08480	13337405
13337411	At1g08500	13337411
13337416	At1g08520	13337416
13337434	At1g08530	13337434
13337442	At1g08540	13337442
13337452	At1g08550	13337452
13337461	At1g08570	13337461
13337474	At1g08590	13337474
13337478	At1g08600	13337478
13337507	At1g08620	13337507
13337524	At1g08650	13337524
13337531	At1g08680	13337531
13337549	At1g08710	13337549
13337559	At1g08720	13337559
13337574	At1g08730	13337574
13337601	At1g08750	13337601
13337615	At1g08760	13337615
13337622	At1g08770	13337622
13337626	At1g08790	13337626
13337629	At1g08830	13337629
13337639	At1g08845	13337639
13337645	At1g08860	13337645
13337662	At1g08890	13337662
13337678	At1g08900	13337678
13337695	At1g08910	13337695
13337711	At1g08920	13337711
13337731	At1g08930	13337731
13337751	At1g08940	13337751
13337755	AMBIgUOUS	13337755
13337757	At1g08960	13337757
13337762	At1g08970	13337762
13337770	At1g08980	13337770
13337782	At1g08985	13337782
13337786	At1g08990	13337786
13337791	At1g09000	13337791
13337808	At1g09026	13337808
13337810	At1g09040	13337810
13337815	At1g09050	13337815
13337819	At1g09070	13337819
13337823	At1g09090	13337823
13337838	AMBIgUOUS	13337838
13337840	At1g09150	13337840
13337850	At1g09176	13337850
13337852	At1g09180	13337852
13337858	At1g09240	13337858
13337862	At1g09250	13337862
13337866	At1g09260	13337866
13337868	At1g09270	13337868
13337883	At1g09300	13337883
13337901	At1g09310	13337901
13337905	At1g09340	13337905
13337918	At1g09350	13337918
13337925	At1g09360	13337925
13337927	At1g09370	13337927
13337929	At1g09390	13337929
13337937	At1g09410	13337937
13337939	At1g09421	13337939
13337943	At1g09430	13337943
13337958	At1g09450	13337958
13337975	At1g09460	13337975
13337980	At1g09480	13337980
13337987	At1g09490	13337987
13337996	At1g09500	13337996
13338006	At1g09510	13338006
13338013	At1g09530	13338013
13338024	At1g09540	13338024
13338030	At1g09560	13338030
13338035	At1g09580	13338035
13338042	AMBIgUOUS	13338042
13338047	At1g09600	13338047
13338055	AMBIgUOUS	13338055
13338059	At1g09640	13338059
13338072	At1g09645	13338072
13338077	At1g09650	13338077
13338081	At1g09665	13338081
13338084	At1g09710	13338084
13338096	At1g09740	13338096
13338103	At1g09750	13338103
13338108	At1g09770	13338108
13338115	At1g09794	13338115
13338120	At1g09795	13338120
13338134	At1g09812	13338134
13338137	At1g09815	13338137
13338142	AMBIgUOUS	13338142
13338150	At1g09870	13338150
13338164	At1g09900	13338164
13338166	At1g09960	13338166
13338174	At1g09970	13338174
13338181	At1g10010	13338181
13338188	At1g10030	13338188
13338194	At1g10050	13338194
13338203	At1g10060	13338203
13338220	At1g10070	13338220
13338235	At1g10110	13338235
13338239	At1g10130	13338239
13338269	At1g10150	13338269
13338273	At1g10210	13338273
13338279	At1g10220	13338279
13338284	At1g10230	13338284
13338288	At1g10270	13338288
13338291	At1g10290	13338291
13338311	At1g10300	13338311
13338314	At1g10330	13338314
13338316	At1g10380	13338316
13338322	At1g10385	13338322
13338328	At1g10450	13338328
13338346	At1g10455	13338346
13338348	At1g10480	13338348
13338352	At1g10490	13338352
13338378	At1g10510	13338378
13338398	At1g10520	13338398
13338413	At1g10522	13338413
13338422	At1g10560	13338422
13338426	At1g10570	13338426
13338442	At1g10588	13338442
13338448	At1g10600	13338448
13338459	At1g10610	13338459
13338470	At1g10652	13338470
13338472	At1g10657	13338472
13338483	At1g10660	13338483
13338495	At1g10670	13338495
13338511	At1g10700	13338511
13338521	At1g10710	13338521
13338534	At1g10717	13338534
13338537	At1g10720	13338537
13338542	At1g10730	13338542
13338554	At1g10745	13338554
13338557	At1g10747	13338557
13338561	At1g10790	13338561
13338565	At1g10810	13338565
13338573	At1g10850	13338573
13338578	At1g10890	13338578
13338586	At1g10910	13338586
13338598	At1g10950	13338598
13338612	At1g10960	13338612
13338616	AMBIgUOUS	13338616
13338618	At1g11020	13338618
13338624	At1g11050	13338624
13338627	At1g11060	13338627
13338640	At1g11090	13338640
13338644	At1g11110	13338644
13338652	At1g11120	13338652
13338657	At1g11125	13338657
13338661	At1g11130	13338661
13338680	At1g11160	13338680
13338697	At1g11170	13338697
13338716	At1g11175	13338716
13338718	At1g11180	13338718
13338733	At1g11185	13338733
13338735	At1g11200	13338735
13338741	At1g11250	13338741
13338744	At1g11260	13338744
13338751	At1g11300	13338751
13338767	At1g11320	13338767
13338773	At1g11330	13338773
13338784	At1g11380	13338784
13338792	At1g11400	13338792
13338801	At1g11410	13338801
13338809	At1g11430	13338809
13338816	At1g11440	13338816
13338820	At1g11450	13338820
13338828	At1g11460	13338828
13338835	At1g11475	13338835
13338841	At1g11500	13338841
13338845	At1g11520	13338845
13338847	At1g11530	13338847
13338853	AMBIgUOUS	13338853
13338855	At1g11560	13338855
13338857	At1g11570	13338857
13338862	At1g11572	13338862
13338866	At1g11580	13338866
13338872	At1g11590	13338872
13338877	At1g11593	13338877
13338879	At1g11600	13338879
13338883	At1g11608	13338883
13338887	At1g11620	13338887
13338889	At1g11650	13338889
13338898	At1g11655	13338898
13338902	At1g11660	13338902
13338915	At1g11680	13338915
13338920	At1g11690	13338920
13338922	At1g11700	13338922
13338926	At1g11710	13338926
13338930	At1g11720	13338930
13338949	At1g11730	13338949
13338961	At1g11750	13338961
13338974	At1g11765	13338974
13338978	At1g11770	13338978
13338981	At1g11790	13338981
13338997	At1g11810	13338997
13339000	At1g11840	13339000
13339015	At1g11850	13339015
13339019	At1g11860	13339019
13339027	At1g11870	13339027
13339041	At1g11890	13339041
13339050	At1g11905	13339050
13339057	At1g11915	13339057
13339062	At1g11930	13339062
13339073	At1g11970	13339073
13339075	At1g11980	13339075
13339077	At1g12010	13339077
13339084	UNIDENtIFIED	13339084
13339086	At1g12015	13339086
13339088	At1g12040	13339088
13339092	At1g12050	13339092
13339109	At1g12060	13339109
13339111	At1g12080	13339111
13339117	At1g12100	13339117
13339119	At1g12110	13339119
13339127	At1g12130	13339127
13339133	AMBIgUOUS	13339133
13339141	At1g12160	13339141
13339148	At1g12180	13339148
13339153	At1g12200	13339153
13339163	At1g12210	13339163
13339165	At1g12220	13339165
13339171	At1g12230	13339171
13339187	At1g12240	13339187
13339195	At1g12244	13339195
13339203	At1g12250	13339203
13339213	At1g12270	13339213
13339222	At1g12320	13339222
13339227	At1g12330	13339227
13339232	At1g12340	13339232
13339238	At1g12350	13339238
13339247	At1g12360	13339247
13339270	At1g12390	13339270
13339276	At1g12400	13339276
13339281	At1g12410	13339281
13339293	At1g12450	13339293
13339300	At1g12460	13339300
13339305	At1g12470	13339305
13339329	At1g12490	13339329
13339332	At1g12540	13339332
13339337	At1g12550	13339337
13339342	At1g12560	13339342
13339347	At1g12580	13339347
13339355	At1g12630	13339355
13339357	At1g12650	13339357
13339372	At1g12660	13339372
13339375	At1g12663	13339375
13339378	At1g12665	13339378
13339381	At1g12672	13339381
13339390	At1g12730	13339390
13339407	At1g12740	13339407
13339419	At1g12760	13339419
13339429	At1g12770	13339429
13339434	At1g12775	13339434
13339437	At1g12805	13339437
13339441	At1g12810	13339441
13339447	At1g12840	13339447
13339461	At1g12855	13339461
13339463	At1g12860	13339463
13339470	At1g12880	13339470
13339477	At1g12890	13339477
13339479	At1g12938	13339479
13339481	At1g12940	13339481
13339486	At1g12950	13339486
13339496	At1g12970	13339496
13339502	At1g12980	13339502
13339506	At1g12990	13339506
13339511	At2g24390	13339511
13339513	At1g13040	13339513
13339515	At1g13050	13339515
13339521	At1g13060	13339521
13339532	At1g13080	13339532
13339539	At1g13090	13339539
13339543	At1g13100	13339543
13339546	At1g13110	13339546
13339550	At1g13130	13339550
13339556	At1g13160	13339556
13339573	At1g13180	13339573
13339585	At1g13190	13339585
13339589	At1g13220	13339589
13339602	At1g13230	13339602
13339607	At1g13260	13339607
13339611	At1g13270	13339611
13339626	At1g13280	13339626
13339631	At1g13300	13339631
13339639	At1g13330	13339639
13339648	At1g13400	13339648
13339654	At1g13410	13339654
13339659	At1g13420	13339659
13339663	At1g13430	13339663
13339666	AMBIgUOUS	13339666
13339669	At1g13460	13339669
13339676	At1g13590	13339676
13339680	At1g13605	13339680
13339685	At1g13607	13339685
13339689	At1g13608	13339689
13339692	At1g13609	13339692
13339698	At1g13620	13339698
13339704	At1g13635	13339704
13339713	At1g13670	13339713
13339717	At1g13680	13339717
13339726	At1g13690	13339726
13339731	AMBIgUOUS	13339731
13339733	At1g13730	13339733
13339743	At1g13740	13339743
13339748	At1g13770	13339748
13339765	At1g13780	13339765
13339771	At1g13790	13339771
13339779	At1g13810	13339779
13339784	At1g13820	13339784
13339797	At1g13880	13339797
13339802	At1g13890	13339802
13339808	At1g13910	13339808
13339822	At1g13920	13339822
13339830	At1g13930	13339830
13339835	At1g13950	13339835
13339843	At1g13960	13339843
13339852	At1g13980	13339852
13339861	At1g13990	13339861
13339873	At1g14000	13339873
13339886	AMBIgUOUS	13339886
13339897	At1g14040	13339897
13339910	At1g14070	13339910
13339913	At1g14080	13339913
13339918	At1g14100	13339918
13339921	At1g14110	13339921
13339925	At1g14150	13339925
13339930	At1g14180	13339930
13339937	At1g14185	13339937
13339941	At1g14190	13339941
13339943	At1g14205	13339943
13339949	At1g14230	13339949
13339960	At1g14240	13339960
13339973	At1g14250	13339973
13339984	At1g14260	13339984
13339995	At1g14280	13339995
13339998	At1g14310	13339998
13340009	At1g14320	13340009
13340017	At1g14340	13340017
13340024	At1g14345	13340024
13340027	At1g14350	13340027
13340042	At1g14370	13340042
13340051	At1g14390	13340051
13340057	At1g14430	13340057
13340061	At1g14470	13340061
13340063	At1g14480	13340063
13340070	At1g14500	13340070
13340073	At1g14550	13340073
13340078	At1g14560	13340078
13340088	At1g14570	13340088
13340102	At1g14580	13340102
13340110	At1g14630	13340110
13340118	At1g14640	13340118
13340121	At1g14642	13340121
13340124	At1g14650	13340124
13340132	At1g14670	13340132
13340142	At1g14680	13340142
13340144	At1g14685	13340144
13340150	At1g14687	13340150
13340153	At1g14700	13340153
13340161	At1g14730	13340161
13340168	At1g14755	13340168
13340172	AMBIgUOUS	13340172
13340182	At1g14800	13340182
13340190	At1g14860	13340190
13340196	At1g14890	13340196
13340200	At1g14920	13340200
13340204	At1g15000	13340204
13340207	At1g15010	13340207
13340210	At1g15015	13340210
13340214	AMBIgUOUS	13340214
13340222	At1g15045	13340222
13340224	At1g15080	13340224
13340234	At1g15110	13340234
13340251	At1g15120	13340251
13340261	At1g15125	13340261
13340266	At1g15150	13340266
13340274	At1g15160	13340274
13340280	At1g15170	13340280
13340288	At1g15180	13340288
13340300	At1g15190	13340300
13340304	At1g15215	13340304
13340315	At1g15240	13340315
13340335	At1g15260	13340335
13340339	At1g15280	13340339
13340351	At1g15330	13340351
13340355	At1g15360	13340355
13340360	At1g15370	13340360
13340367	At1g15380	13340367
13340374	At1g15390	13340374
13340379	AMBIgUOUS	13340379
13340385	At1g15430	13340385
13340390	At1g15470	13340390
13340400	At1g15480	13340400
13340406	At1g15500	13340406
13340414	At1g15510	13340414
13340416	At1g15540	13340416
13340420	At1g15570	13340420
13340433	At1g15590	13340433
13340440	At1g15600	13340440
13340445	At1g15610	13340445
13340452	At1g15620	13340452
13340457	At1g15630	13340457
13340463	At1g15640	13340463
13340469	At1g15660	13340469
13340483	At1g15670	13340483
13340487	At1g15680	13340487
13340489	At1g15690	13340489
13340503	At1g15710	13340503
13340507	At1g15720	13340507
13340511	At1g15740	13340511
13340529	At1g15760	13340529
13340531	At1g15810	13340531
13340539	At1g15830	13340539
13340541	At1g15840	13340541
13340546	At1g15860	13340546
13340560	At1g15870	13340560
13340566	At1g15885	13340566
13340571	At1g15890	13340571
13340575	At1g15900	13340575
13340577	At1g15910	13340577
13340583	At1g15920	13340583
13340590	At1g15930	13340590
13340598	At1g15940	13340598
13340615	At1g15950	13340615
13340626	At1g15980	13340626
13340635	At1g16000	13340635
13340640	At1g16020	13340640
13340652	AMBIgUOUS	13340652
13340655	At1g16040	13340655
13340665	At1g16060	13340665
13340676	At1g16080	13340676
13340684	At1g16090	13340684
13340690	At1g16110	13340690
13340695	At1g16120	13340695
13340699	At1g16130	13340699
13340705	At1g16150	13340705
13340709	At1g16160	13340709
13340713	At1g16180	13340713
13340723	At1g16190	13340723
13340737	At1g16220	13340737
13340743	At1g16250	13340743
13340748	At1g16270	13340748
13340759	At1g16300	13340759
13340775	At1g16310	13340775
13340783	At1g16320	13340783
13340788	At1g16350	13340788
13340795	At1g16370	13340795
13340799	At1g16390	13340799
13340802	At1g16400	13340802
13340808	At1g16410	13340808
13340815	At1g16430	13340815
13340820	At1g16440	13340820
13340826	At1g16445	13340826
13340834	At1g16470	13340834
13340849	At1g16490	13340849
13340854	At1g16500	13340854
13340858	At1g16520	13340858
13340870	At1g16540	13340870
13340894	At1g16560	13340894
13340904	At1g16590	13340904
13340912	At1g16640	13340912
13340917	At1g16650	13340917
13340931	At1g16670	13340931
13340941	At1g16680	13340941
13340952	At1g16690	13340952
13340966	At1g16700	13340966
13340976	At1g16705	13340976
13340983	At1g16710	13340983
13341008	At1g16720	13341008
13341023	At1g16740	13341023
13341028	At1g16760	13341028
13341038	AMBIgUOUS	13341038
13341046	At1g16790	13341046
13341050	At1g16810	13341050
13341055	At1g16825	13341055
13341061	At1g16830	13341061
13341063	At1g16860	13341063
13341073	At1g16880	13341073
13341089	At1g16910	13341089
13341093	At1g16930	13341093
13341097	At1g16940	13341097
13341101	At1g16950	13341101
13341105	At1g16960	13341105
13341112	At1g16980	13341112
13341128	At1g17000	13341128
13341144	At1g17010	13341144
13341151	At1g17020	13341151
13341158	At1g17030	13341158
13341165	At1g17040	13341165
13341178	At1g17050	13341178
13341187	At1g17070	13341187
13341191	At1g17100	13341191
13341196	At1g17120	13341196
13341199	At1g17130	13341199
13341210	At1g17150	13341210
13341215	At1g17160	13341215
13341223	At1g17170	13341223
13341228	At1g17180	13341228
13341233	At1g17190	13341233
13341238	At1g17200	13341238
13341245	At1g17220	13341245
13341260	At1g17230	13341260
13341265	At1g17235	13341265
13341267	At1g17250	13341267
13341273	At1g17260	13341273
13341293	At1g17285	13341293
13341298	At1g17290	13341298
13341313	At1g17300	13341313
13341317	At1g17330	13341317
13341326	At1g17340	13341326
13341345	At1g17345	13341345
13341349	At1g17350	13341349
13341359	At1g17360	13341359
13341372	At1g17420	13341372
13341382	At1g17430	13341382
13341389	At1g17455	13341389
13341394	At1g17460	13341394
13341406	At1g17470	13341406
13341419	At1g17490	13341419
13341424	At1g17500	13341424
13341436	At1g17530	13341436
13341440	At1g17545	13341440
13341443	At1g17550	13341443
13341450	At1g17580	13341450
13341481	At1g17610	13341481
13341484	At1g17615	13341484
13341487	At1g17620	13341487
13341491	At1g17630	13341491
13341493	AMBIgUOUS	13341493
13341495	At1g17680	13341495
13341516	At1g17700	13341516
13341520	At1g17730	13341520
13341525	AMBIgUOUS	13341525
13341533	At1g17750	13341533
13341537	At1g17770	13341537
13341539	At1g17780	13341539
13341548	At1g17800	13341548
13341552	At1g17810	13341552
13341558	At1g17840	13341558
13341571	At1g17860	13341571
13341574	At1g17910	13341574
13341578	At1g17950	13341578
13341584	At1g17970	13341584
13341592	AMBIgUOUS	13341592
13341596	AMBIgUOUS	13341596
13341603	At1g18030	13341603
13341614	ath-MIR159b	13341614
13341616	At1g18080	13341616
13341621	At1g18090	13341621
13341634	At1g18130	13341634
13341640	At1g18160	13341640
13341654	At1g18170	13341654
13341660	At1g18180	13341660
13341673	At1g18280	13341673
13341679	At1g18290	13341679
13341683	At1g18300	13341683
13341688	At1g18320	13341688
13341695	At1g18350	13341695
13341698	At1g18390	13341698
13341705	At1g18400	13341705
13341713	At1g18420	13341713
13341721	AMBIgUOUS	13341721
13341723	At1g18440	13341723
13341733	At1g18450	13341733
13341755	At1g18460	13341755
13341766	At1g18480	13341766
13341769	At1g18485	13341769
13341772	AMBIgUOUS	13341772
13341782	At1g18500	13341782
13341795	At1g18510	13341795
13341798	At1g18520	13341798
13341803	At1g18530	13341803
13341805	At1g18560	13341805
13341812	At1g18570	13341812
13341818	At1g18580	13341818
13341823	At1g18590	13341823
13341827	At1g18600	13341827
13341838	At1g18610	13341838
13341850	At1g18620	13341850
13341863	At1g18630	13341863
13341870	At1g18660	13341870
13341894	At1g18690	13341894
13341901	At1g18700	13341901
13341929	At1g18710	13341929
13341935	At1g18730	13341935
13341946	At1g18740	13341946
13341950	At1g18750	13341950
13341963	At1g18773	13341963
13341968	AMBIgUOUS	13341968
13341970	At1g18830	13341970
13341989	At1g18860	13341989
13341993	At1g18870	13341993
